txn_id,txn_date,txn_month,txn_quarter,txn_year,day_of_week,product_name,category,qty_purchased,unit_price_ngn,total_ngn,store_city,payment_method,customer_age_group,customer_gender,uci_invoice_no,uci_stock_code,data_source
TXN0000095,2023-04-18,4,2,2023,Tuesday,Golden Penny Spaghetti 500g,Pasta & Noodles,2,2091,4182,Warri,Bank Transfer,26-35,F,550458,22771,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000096,2024-12-05,12,4,2024,Thursday,Eggs Crate 30,Fresh & Perishable,1,2507,2507,Kano,Cash,26-35,F,537202,22272,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000097,2024-11-25,11,4,2024,Monday,Chin-Chin 500g,Snacks & Confectionery,1,1385,1385,Onitsha,Cash,26-35,F,578833,21884,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000098,2023-12-06,12,4,2023,Wednesday,Rice 50kg,Grains & Cereals,6,552,3312,Ibadan,Cash,26-35,F,537375,20974,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000099,2023-09-08,9,3,2023,Friday,Onions 1kg,Fresh & Perishable,3,1768,5304,Aba,Bank Transfer,46-60,M,565971,23344,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000100,2023-11-30,11,4,2023,Thursday,Golden Penny Spaghetti 500g,Pasta & Noodles,12,1785,21420,Jos,POS,26-35,M,579670,22144,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000101,2024-04-08,4,2,2024,Monday,Eggs Crate 30,Fresh & Perishable,1,33957,33957,Warri,POS,36-45,F,549307,84078A,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000102,2022-07-19,7,3,2022,Tuesday,Tomato Paste 400g,Condiments & Seasonings,12,722,8664,Warri,Cash,26-35,M,560453,21060,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000103,2022-11-11,11,4,2022,Friday,Hollandia Yoghurt 1L,Beverages,12,722,8664,Lagos,Cash,26-35,F,575846,21679,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000104,2023-03-29,3,1,2023,Wednesday,Egusi Ground 500g,Condiments & Seasonings,12,1232,14784,Kaduna,POS,36-45,M,548178,22147,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000105,2023-12-02,12,4,2023,Saturday,Pampers Small 36pk,Baby & Infant,12,2167,26004,Kaduna,Cash,26-35,M,580360,21588,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000106,2023-12-06,12,4,2023,Wednesday,Milo 400g,Beverages,1,552,552,Port Harcourt,Cash,60+,F,537362,20974,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000107,2022-10-12,10,4,2022,Wednesday,Bleach 1L,Household Essentials,4,3527,14108,Enugu,Cash,60+,M,570718,23391,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000108,2022-07-07,7,3,2022,Thursday,Bleach 1L,Household Essentials,1,1062,1062,Jos,Bank Transfer,46-60,F,559338,22231,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000109,2024-11-07,11,4,2024,Thursday,Beans Brown 5kg,Grains & Cereals,2,1232,2464,Benin City,Bank Transfer,36-45,F,574852,46000S,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000110,2024-02-04,2,1,2024,Sunday,Huggies Medium 32pk,Baby & Infant,12,1062,12744,Aba,Cash,46-60,F,543166,22294,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000111,2023-08-21,8,3,2023,Monday,Tissue Paper 12 rolls,Household Essentials,1,4207,4207,Jos,Cash,60+,F,563909,21770,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000112,2023-09-29,9,3,2023,Friday,Dangote Noodles 70g,Pasta & Noodles,2,1402,2804,Warri,Cash,26-35,F,568921,23192,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000113,2024-07-17,7,3,2024,Wednesday,Egusi Ground 500g,Condiments & Seasonings,4,3612,14448,Ibadan,Cash,26-35,F,560273,22429,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000114,2024-06-16,6,2,2024,Sunday,Onions 1kg,Fresh & Perishable,3,1062,3186,Abuja,Cash,26-35,M,557112,23307,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000115,2024-02-18,2,1,2024,Sunday,Pampers Small 36pk,Baby & Infant,6,2507,15042,Kano,POS,26-35,M,544338,22698,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000116,2023-05-03,5,2,2023,Wednesday,NAN Optipro 400g,Baby & Infant,12,1062,12744,Benin City,Bank Transfer,26-35,F,551650,21870,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000117,2022-09-22,9,3,2022,Thursday,Palm Oil 4L,Condiments & Seasonings,1,705,705,Owerri,Bank Transfer,26-35,F,567901,23434,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000118,2024-02-11,2,1,2024,Sunday,Garri Yellow 10kg,Grains & Cereals,4,1232,4928,Kaduna,Bank Transfer,18-25,F,543653,22645,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000119,2023-09-07,9,3,2023,Thursday,Fresh Tomatoes 1kg,Fresh & Perishable,2,6341,12682,Owerri,Bank Transfer,36-45,F,565841,22569,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000120,2023-10-03,10,4,2023,Tuesday,Geisha Sardines 125g,Canned & Packaged Foods,4,3612,14448,Port Harcourt,Cash,26-35,F,569249,22114,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000121,2023-09-13,9,3,2023,Wednesday,Garri Yellow 10kg,Grains & Cereals,1,7046,7046,Benin City,POS,46-60,F,566577,47566b,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000122,2023-11-16,11,4,2023,Thursday,Indomie Noodles 70g,Snacks & Confectionery,6,2796,16776,Uyo,Cash,36-45,F,576644,22961,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000123,2023-11-20,11,4,2023,Monday,Garri Yellow 10kg,Grains & Cereals,12,6018,72216,Onitsha,Bank Transfer,46-60,M,577409,23284,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000124,2024-10-19,10,4,2024,Saturday,Tomato Paste 400g,Condiments & Seasonings,4,3357,13428,Kaduna,Cash,60+,F,571725,22722,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000125,2022-02-13,2,1,2022,Sunday,Chin-Chin 500g,Snacks & Confectionery,6,1062,6372,Ibadan,Bank Transfer,26-35,M,543800,21669,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000126,2023-10-10,10,4,2023,Tuesday,Bleach 1L,Household Essentials,1,2507,2507,Benin City,Bank Transfer,26-35,F,570482,22086,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000127,2022-11-14,11,4,2022,Monday,Gino Tomatoes 400g,Canned & Packaged Foods,1,1785,1785,Aba,Cash,46-60,F,576249,22865,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000128,2023-10-25,10,4,2023,Wednesday,Palm Oil 4L,Condiments & Seasonings,12,1062,12744,Port Harcourt,POS,18-25,M,572695,23333,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000129,2022-06-19,6,2,2022,Sunday,Garri Yellow 10kg,Grains & Cereals,12,1768,21216,Port Harcourt,Cash,36-45,M,557312,85099F,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000130,2022-07-31,7,3,2022,Sunday,Cornedbeef 340g,Canned & Packaged Foods,3,722,2166,Aba,POS,18-25,F,561867,22219,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000131,2023-09-11,9,3,2023,Monday,Pringles Original 150g,Snacks & Confectionery,2,722,1444,Ilorin,Cash,60+,F,566290,21080,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000132,2024-11-30,11,4,2024,Saturday,Indomie Noodles 70g,Snacks & Confectionery,1,3510,3510,Onitsha,POS,46-60,M,579751,21928,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000133,2023-01-16,1,1,2023,Monday,Indomie Noodles 70g,Snacks & Confectionery,1,8457,8457,Abuja,Bank Transfer,18-25,F,541266,22180,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000134,2023-10-09,10,4,2023,Monday,Pampers Small 36pk,Baby & Infant,1,1062,1062,Ilorin,Cash,18-25,F,570230,21124,UCI Online Retail Dataset (Nigerian market adaptation)
TXN0000135,2022-05-06,5,2,2022,Friday,Cornedbeef 340g,Canned & Packaged Foods,1,4921,4921,Ilorin,Cash,60+,F,552229,21743,UCI Online Retail Dataset (Nigerian market adaptation)
